City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,71.76,78,75,0.0,TO,1628459704
Avarua,-21.2078,-159.775,77.05,69,75,3.6,CK,1628459750
Mahibadhoo,3.7833,72.9667,82.92,74,100,5.77,MV,1628459750
Mataura,-46.1927,168.8643,37.47,94,91,1.68,NZ,1628459699
Itupiranga,-5.1347,-49.3267,84.52,40,12,0.48,BR,1628459751
Geraldton,-28.7667,114.6,63.01,72,40,5.66,AU,1628459696
Krasnosel'kup,65.7,82.4667,54.43,69,15,4.23,RU,1628459752
Moose Factory,51.2585,-80.6094,77.00,41,1,6.17,CA,1628459752
Clyde River,70.4692,-68.5914,46.63,81,40,6.17,CA,1628459752
Berlevåg,70.8578,29.0864,58.48,66,8,4.16,NO,1628459753
Saint-Augustin,51.226,-58.6502,61.66,60,3,4.31,CA,1628459753
Mar del Plata,-38.0023,-57.5575,50.02,71,0,4.12,AR,1628459600
Karratha,-20.7377,116.8463,66.51,57,39,2.36,AU,1628459754
Cape Town,-33.9258,18.4232,55.81,92,75,1.79,ZA,1628459654
Ust'-Ishim,57.6935,71.1665,61.72,96,41,2.37,RU,1628459754
Busselton,-33.65,115.3333,53.10,53,100,10.25,AU,1628459702
Jumla,29.2747,82.1838,62.94,98,100,0.93,NP,1628459754
Nikolskoye,59.7035,30.7861,64.02,96,99,2.01,RU,1628459718
Mackay,-21.15,149.2,65.05,88,90,3.6,AU,1628459755
Kaitangata,-46.2817,169.8464,38.91,83,90,4.0,NZ,1628459708
Barrow,71.2906,-156.7887,39.22,88,90,4.12,US,1628459444
Hithadhoo,-0.6,73.0833,80.29,76,100,1.52,MV,1628459706
Tuktoyaktuk,69.4541,-133.0374,48.20,76,90,4.12,CA,1628459756
Cherskiy,68.75,161.3,58.53,35,24,0.08,RU,1628459756
Rikitea,-23.1203,-134.9692,74.43,75,1,5.42,PF,1628459687
Myitkyina,25.3833,97.4,75.18,99,100,0.29,MM,1628459757
Ilulissat,69.2167,-51.1,37.60,95,100,3.33,GL,1628459757
Tartagal,-22.5164,-63.8013,75.97,39,7,1.46,AR,1628459758
Kapaa,22.0752,-159.319,82.47,67,62,1.34,US,1628459692
Mahébourg,-20.4081,57.7,68.29,94,75,3.6,MU,1628459689
Jamestown,42.097,-79.2353,81.30,66,40,1.79,US,1628459593
Matagami,49.7502,-77.6328,73.51,49,75,5.66,CA,1628459758
Cerritos,33.8583,-118.0648,102.74,61,1,2.24,US,1628459582
Khanbari,27.3747,87.2039,71.08,90,85,0.77,NP,1628459759
Bredasdorp,-34.5322,20.0403,56.52,72,100,4.12,ZA,1628459759
Ushuaia,-54.8,-68.3,42.46,61,75,3.09,AR,1628459694
Mount Gambier,-37.8333,140.7667,46.31,93,75,3.6,AU,1628459700
Zhob,31.3411,69.4481,79.50,47,45,1.44,PK,1628459782
Kruisfontein,-34.0033,24.7314,53.89,90,100,2.87,ZA,1628459783
Lake Shasta,40.6804,-122.3708,98.08,22,0,0.89,US,1628459783
Trunovskoye,45.4878,42.1358,75.24,59,100,3.8,RU,1628459784
Husavik,66.0449,-17.3389,55.31,86,39,1.61,IS,1628459784
Leningradskiy,69.3833,178.4167,40.44,75,26,8.08,RU,1628459703
Praia,14.9215,-23.5087,79.34,83,40,2.06,CV,1628459557
Independência,-5.3964,-40.3086,84.85,36,61,3.31,BR,1628459785
Sakakah,29.9697,40.2064,92.77,17,0,3.75,SA,1628459785
Saskylakh,71.9167,114.0833,60.04,67,100,2.63,RU,1628459785
Bambous Virieux,-20.3428,57.7575,68.25,94,75,3.6,MU,1628459786
Lebu,-37.6167,-73.65,46.33,77,6,3.21,CL,1628459786
George Town,5.4112,100.3354,81.90,83,20,1.54,MY,1628459691
Castro,-24.7911,-50.0119,61.74,59,99,1.74,BR,1628459701
Longyearbyen,78.2186,15.6401,40.84,93,75,3.6,SJ,1628459787
Boguchany,58.3814,97.4531,56.82,77,65,1.64,RU,1628459787
Hermanus,-34.4187,19.2345,53.91,87,100,10.06,ZA,1628459722
Esim,4.8699,-2.2405,76.21,88,78,4.61,GH,1628459788
Antalaha,-14.9003,50.2788,66.70,86,32,2.69,MG,1628459788
Chokurdakh,70.6333,147.9167,63.41,48,47,6.27,RU,1628459690
Borbon,10.838,124.0297,78.69,87,99,2.06,PH,1628459789
Tessalit,20.1986,1.0114,90.95,35,99,4.52,ML,1628459789
Upernavik,72.7868,-56.1549,41.14,86,100,1.86,GL,1628459695
Akdepe,42.0551,59.3788,78.89,23,0,4.2,TM,1628459789
Santo Tomas,14.1079,121.1414,79.05,92,88,1.0,PH,1628459790
Lagoa,39.05,-27.9833,72.16,86,14,8.9,PT,1628459790
Faanui,-16.4833,-151.75,78.89,77,21,5.87,PF,1628459791
San Patricio,28.017,-97.5169,93.92,55,29,8.84,US,1628459791
Port Hueneme,34.1478,-119.1951,100.06,67,1,4.63,US,1628459720
